epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.56427,3.34964,4.44868,4.42969,0.00357,0.41176,0.00284,0.00053,3.41042,3.98978,4.15913,0.00022,0.00022,0.00022
2,3.0026,3.22637,4.06272,4.21193,0.00405,0.47059,0.00628,0.00136,3.40869,4.00771,4.15914,0.000450892,0.000450892,0.000450892
3,4.45795,3.19754,3.85853,4.02603,0.00408,0.47059,0.0067,0.00144,3.3952,4.02916,4.16169,0.00067228,0.00067228,0.00067228
4,5.89952,3.04687,3.42584,3.73394,0.00411,0.47059,0.00753,0.00153,3.38089,4.0288,4.17437,0.000884164,0.000884164,0.000884164
5,7.33319,2.83372,3.19181,3.48113,0.00376,0.41176,0.0079,0.00174,3.36533,3.95065,4.23607,0.00108654,0.00108654,0.00108654
6,8.75765,2.62123,2.79196,3.19091,0.00484,0.52941,0.00861,0.00173,3.35988,3.94901,4.27225,0.00127942,0.00127942,0.00127942
7,10.1873,2.6017,2.6767,3.08676,0.01116,0.41176,0.00948,0.00237,3.36935,3.87648,4.18037,0.00146279,0.00146279,0.00146279
8,11.617,2.55307,2.48291,2.96628,0.01121,0.64706,0.01135,0.00312,3.2269,3.53003,3.81756,0.00163666,0.00163666,0.00163666
9,13.0495,2.46422,2.34624,2.83638,0.25078,0.29412,0.1177,0.05816,2.89158,2.64907,3.33583,0.0016832,0.0016832,0.0016832
10,14.463,2.39206,2.22706,2.77701,0.45304,0.19662,0.20647,0.06106,2.66794,2.9402,3.18372,0.0016436,0.0016436,0.0016436
11,15.8896,2.27001,2.0768,2.62898,0.58087,0.52941,0.57098,0.32026,2.11327,1.84021,2.76662,0.001604,0.001604,0.001604
12,17.3075,2.18924,1.91565,2.5488,0.51334,0.47059,0.57502,0.29767,2.13278,1.55631,2.54406,0.0015644,0.0015644,0.0015644
13,18.7209,2.16794,1.87767,2.47692,1,0.70393,0.8607,0.34476,2.38903,1.84697,2.85123,0.0015248,0.0015248,0.0015248
14,20.1417,2.09488,1.7894,2.47296,0.63918,0.94118,0.83799,0.38873,2.15195,1.32482,2.4491,0.0014852,0.0014852,0.0014852
15,21.5697,2.15579,1.76937,2.48982,0.93003,0.88235,0.92896,0.46249,2.18841,1.48905,2.46861,0.0014456,0.0014456,0.0014456
16,22.9978,1.98948,1.66086,2.33905,0.88604,0.82353,0.88787,0.46949,2.12332,1.30545,2.25138,0.001406,0.001406,0.001406
17,24.4206,2.10509,1.6984,2.42233,0.91158,0.60756,0.89846,0.44868,2.0657,1.54252,2.33313,0.0013664,0.0013664,0.0013664
18,25.8342,1.94411,1.49392,2.26367,0.86225,0.70588,0.85141,0.39666,2.03808,1.34415,2.42031,0.0013268,0.0013268,0.0013268
19,27.2481,1.92437,1.57209,2.28473,0.98607,0.76471,0.92148,0.49324,1.87654,1.41192,2.3232,0.0012872,0.0012872,0.0012872
20,28.6754,1.83679,1.44669,2.15416,1,0.86635,0.92714,0.45899,2.12726,1.14329,2.36269,0.0012476,0.0012476,0.0012476
21,30.1018,1.8438,1.49571,2.21413,0.97465,0.82353,0.9186,0.53305,1.90801,1.14314,2.18811,0.001208,0.001208,0.001208
22,31.5227,1.80535,1.39809,2.15374,0.95946,0.64706,0.84197,0.36798,2.09046,1.42537,2.45757,0.0011684,0.0011684,0.0011684
23,32.9361,1.80103,1.37551,2.16525,0.78974,0.66364,0.77779,0.40492,1.84359,1.30738,2.16242,0.0011288,0.0011288,0.0011288
24,34.3475,1.78417,1.32639,2.12297,0.99065,0.88235,0.92913,0.51713,1.88206,1.01297,2.08307,0.0010892,0.0010892,0.0010892
25,35.7689,1.71164,1.30544,2.07083,0.98781,0.82353,0.94867,0.5188,1.77225,0.96621,2.03691,0.0010496,0.0010496,0.0010496
26,37.1874,1.76637,1.24086,2.08469,0.92878,0.82353,0.92013,0.41263,2.10601,1.21673,2.31776,0.00101,0.00101,0.00101
27,38.6053,1.75068,1.25788,2.11541,0.98603,0.88235,0.91595,0.5358,1.65572,1.12697,1.95955,0.0009704,0.0009704,0.0009704
28,40.0258,1.75334,1.29439,2.09899,1,0.84237,0.92411,0.51641,1.72963,1.00958,2.02644,0.0009308,0.0009308,0.0009308
29,41.4386,1.72522,1.24965,2.09247,0.93265,0.81512,0.91067,0.43094,1.86535,1.44101,2.16749,0.0008912,0.0008912,0.0008912
30,42.8512,1.59947,1.21926,2.02569,0.99312,0.88235,0.95638,0.54119,1.87465,1.16672,2.05239,0.0008516,0.0008516,0.0008516
31,44.284,1.714,1.26806,2.08091,0.96414,0.94118,0.95325,0.54628,1.653,1.0025,1.93916,0.000812,0.000812,0.000812
32,45.7126,1.56572,1.11692,1.93318,0.9382,0.94118,0.9492,0.51185,1.70601,0.98842,1.95707,0.0007724,0.0007724,0.0007724
33,47.1289,1.61227,1.19204,1.96998,0.98795,0.88235,0.95048,0.51139,1.72013,0.96209,1.93147,0.0007328,0.0007328,0.0007328
34,48.5368,1.61597,1.12485,1.95064,0.97031,0.94118,0.94566,0.55206,1.65893,0.94157,1.92186,0.0006932,0.0006932,0.0006932
35,49.9508,1.61181,1.08723,1.96793,1,0.9378,0.95681,0.54391,1.90771,0.99973,2.0382,0.0006536,0.0006536,0.0006536
36,51.3684,1.58125,1.14246,1.93766,0.99283,0.88235,0.95141,0.55298,1.55939,0.97736,1.85678,0.000614,0.000614,0.000614
37,52.7994,1.63677,1.07217,1.9255,0.98521,0.94118,0.96797,0.50208,1.82521,0.92731,2.06453,0.0005744,0.0005744,0.0005744
38,54.2073,1.59273,1.08295,1.93533,1,0.91891,0.96929,0.53661,1.64609,0.84448,1.935,0.0005348,0.0005348,0.0005348
39,55.6227,1.57944,1.04654,1.91218,0.97511,0.82353,0.95251,0.56305,1.58609,0.9074,1.89461,0.0004952,0.0004952,0.0004952
40,57.0506,1.50098,1.01066,1.85057,0.94042,0.92904,0.97416,0.51975,1.87411,0.89986,2.01482,0.0004556,0.0004556,0.0004556
41,58.9899,1.39884,1.07747,1.84956,0.94013,0.92439,0.94858,0.49121,1.73497,0.937,1.96627,0.000416,0.000416,0.000416
42,60.4184,1.36785,1.00219,1.83848,1,0.88231,0.94937,0.55971,1.60576,0.86822,1.88581,0.0003764,0.0003764,0.0003764
43,61.8336,1.41662,0.99621,1.84207,1,0.87367,0.95092,0.53011,1.62041,0.89827,1.91307,0.0003368,0.0003368,0.0003368
44,63.2461,1.34004,0.97188,1.78629,0.94575,0.82353,0.92927,0.50504,1.77906,0.94274,2.07256,0.0002972,0.0002972,0.0002972
45,64.6662,1.34582,0.93715,1.79143,0.8536,0.82353,0.91178,0.51222,1.69447,1.00357,1.99083,0.0002576,0.0002576,0.0002576
46,66.0803,1.34528,0.94935,1.77396,0.97063,0.88235,0.95161,0.55628,1.57998,0.90577,1.87359,0.000218,0.000218,0.000218
47,67.486,1.32401,0.90038,1.77542,1,0.87155,0.94998,0.53072,1.67689,0.87245,1.91252,0.0001784,0.0001784,0.0001784
48,68.8948,1.24488,0.90406,1.712,1,0.87334,0.95956,0.52381,1.68686,0.85748,1.93565,0.0001388,0.0001388,0.0001388
