epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.40022,3.51415,19.8866,4.58562,4.45625,0.00371,0.57143,0.00316,0.00144,0,0,0,0,3.15768,5.18769,3.84122,4.1582,0.00022,0.00022,0.00022
2,4.37374,3.38421,7.70673,4.18192,4.22605,0.00375,0.57143,0.0034,0.00154,0,0,0,0,3.1602,5.18245,3.85015,4.15772,0.000450892,0.000450892,0.000450892
3,6.3683,3.47372,5.48981,4.14511,4.11536,0.00369,0.57143,0.00354,0.00161,0,0,0,0,3.16443,5.17783,3.87115,4.15853,0.00067228,0.00067228,0.00067228
4,8.20664,3.31646,5.02866,3.87873,3.96376,0.00377,0.57143,0.00373,0.00155,0,0,0,0,3.18114,5.15419,3.80194,4.17226,0.000884164,0.000884164,0.000884164
5,10.0304,3.1984,4.59935,3.60018,3.70739,0.00389,0.57143,0.00609,0.0026,0,0,0,0,3.18844,5.10382,3.83308,4.14637,0.00108654,0.00108654,0.00108654
6,11.8506,2.91796,4.22349,3.33257,3.37812,0.00853,0.52381,0.00665,0.00284,0.00078,0.04762,0.00042,8e-05,3.21493,5.05215,3.72068,4.12819,0.00127942,0.00127942,0.00127942
7,13.679,2.70099,3.7382,3.15832,3.22457,0.01139,0.33333,0.05925,0.01313,0.00799,0.66667,0.01001,0.00254,2.73093,4.46989,3.46868,3.50277,0.00146279,0.00146279,0.00146279
8,15.5135,2.55848,3.26051,2.75491,3.0437,0.48175,0.14286,0.17364,0.05495,0.04677,0.2381,0.02148,0.00616,2.47907,4.28508,2.88269,3.16809,0.00163666,0.00163666,0.00163666
9,17.3436,2.52518,3.01802,2.57086,2.95605,0.30775,0.2381,0.22853,0.09379,0.30775,0.2381,0.21936,0.06842,2.39209,3.36474,2.60584,2.90508,0.0016832,0.0016832,0.0016832
10,19.212,2.4115,2.79019,2.3787,2.81007,0.26187,0.47619,0.26005,0.09986,0.18485,0.38095,0.12386,0.0267,2.60682,3.5409,2.81024,3.06573,0.0016436,0.0016436,0.0016436
11,21.1241,2.43892,2.62196,2.24249,2.79341,0.29233,0.38095,0.26099,0.09028,0.13149,0.14286,0.06568,0.01475,2.61258,4.7982,2.91365,3.48549,0.001604,0.001604,0.001604
12,22.9445,2.34688,2.29446,2.14614,2.75862,0.44719,0.42857,0.33118,0.12566,0.36046,0.33333,0.26648,0.09184,2.37847,3.27743,2.52103,3.18362,0.0015644,0.0015644,0.0015644
13,24.769,2.35958,2.29109,2.10198,2.75595,0.74711,0.56318,0.62399,0.29337,0.74711,0.56318,0.62399,0.27462,2.19117,3.1266,2.06133,2.725,0.0015248,0.0015248,0.0015248
14,26.5909,2.18866,2.23551,1.89046,2.57689,0.87466,0.52381,0.69949,0.36509,0.87466,0.52381,0.69701,0.36744,2.00367,2.5279,1.70702,2.58097,0.0014852,0.0014852,0.0014852
15,28.4146,2.13141,2.17007,1.83665,2.55982,0.8624,0.47619,0.64671,0.32152,0.8624,0.47619,0.6278,0.37022,2.05488,2.15172,1.81155,2.57768,0.0014456,0.0014456,0.0014456
16,30.2428,2.07219,2.09085,1.83408,2.53453,0.65306,0.57143,0.64709,0.36207,0.65306,0.57143,0.64709,0.35674,2.04357,1.9778,1.96323,2.59011,0.001406,0.001406,0.001406
17,32.0616,1.93584,2.02905,1.67846,2.4172,0.79805,0.66667,0.78799,0.43078,0.79805,0.66667,0.78799,0.46625,1.91401,2.36272,1.62009,2.53623,0.0013664,0.0013664,0.0013664
18,33.8966,1.94065,2.04456,1.60806,2.4131,0.83001,0.57143,0.75,0.47964,0.83001,0.57143,0.75,0.49193,1.76384,1.94643,1.74087,2.47898,0.0013268,0.0013268,0.0013268
19,35.7267,1.90169,1.93187,1.49981,2.34257,0.5806,0.72547,0.70267,0.41351,0.69678,0.54785,0.63864,0.37739,1.69406,2.76869,1.56432,2.42252,0.0012872,0.0012872,0.0012872
20,37.5639,1.85585,1.85484,1.42468,2.31612,0.80172,0.52381,0.7047,0.40062,0.80172,0.52381,0.7047,0.41168,1.83406,2.15647,1.74881,2.49912,0.0012476,0.0012476,0.0012476
21,39.3802,1.89807,2.01877,1.48136,2.33311,0.67396,0.68959,0.76062,0.42919,0.67396,0.68959,0.76062,0.4319,1.68212,2.1014,1.50619,2.37068,0.001208,0.001208,0.001208
22,41.2153,1.85422,1.918,1.42936,2.22055,0.74312,0.71429,0.78638,0.48418,0.84689,0.61905,0.74998,0.49461,1.61243,2.02671,1.45234,2.3445,0.0011684,0.0011684,0.0011684
23,43.0445,1.69705,1.77121,1.38247,2.16462,0.77099,0.80186,0.84269,0.47648,0.77099,0.80186,0.84269,0.51339,1.64266,1.71781,1.27394,2.29048,0.0011288,0.0011288,0.0011288
24,44.8805,1.70179,1.80012,1.34088,2.1192,0.71148,0.93976,0.80206,0.46318,0.71148,0.93976,0.80206,0.50607,1.6709,1.66615,1.28137,2.19886,0.0010892,0.0010892,0.0010892
25,46.7007,1.7303,1.84131,1.2846,2.08001,0.84492,0.77889,0.82919,0.47908,0.84492,0.77889,0.8346,0.52337,1.74052,1.55097,1.29712,2.25283,0.0010496,0.0010496,0.0010496
26,48.5346,1.69713,1.72232,1.27527,2.11304,0.76676,0.61905,0.776,0.51116,0.8355,0.66667,0.79569,0.52872,1.51973,1.60913,1.39513,2.20428,0.00101,0.00101,0.00101
27,50.3587,1.72203,1.85634,1.37801,2.18557,0.78172,0.71429,0.80947,0.51047,0.78172,0.71429,0.82243,0.51258,1.5863,1.59264,1.27635,2.2067,0.0009704,0.0009704,0.0009704
28,52.1741,1.67438,1.67873,1.25102,2.06849,0.682,0.81726,0.79584,0.5057,0.682,0.81726,0.79584,0.52787,1.61009,1.54721,1.17429,2.14312,0.0009308,0.0009308,0.0009308
29,54.0211,1.59649,1.70215,1.21354,2.03136,0.88697,0.74789,0.85053,0.5246,0.88697,0.74789,0.85053,0.55656,1.54317,1.52599,1.21649,2.17028,0.0008912,0.0008912,0.0008912
30,55.8489,1.43212,1.50803,1.06713,1.86614,0.86291,0.90476,0.88565,0.56831,0.86291,0.90476,0.88565,0.57998,1.57348,1.54768,1.14143,2.14844,0.0008516,0.0008516,0.0008516
31,57.7011,1.6092,1.67517,1.15669,2.01387,0.80285,0.66667,0.819,0.55251,0.80285,0.66667,0.819,0.55753,1.47698,1.46329,1.16017,2.0247,0.000812,0.000812,0.000812
32,59.5651,1.49893,1.51435,1.12341,1.96986,0.88428,0.66667,0.84575,0.59706,0.88428,0.66667,0.84575,0.59264,1.49971,1.56749,1.18536,2.02628,0.0007724,0.0007724,0.0007724
33,61.563,1.46274,1.59263,1.11063,1.90148,0.96959,0.7619,0.8713,0.61688,0.96959,0.7619,0.8713,0.63437,1.3923,1.33677,1.23077,1.95607,0.0007328,0.0007328,0.0007328
34,63.3955,1.39584,1.50374,1.05405,1.8344,0.81905,0.80952,0.84397,0.5808,0.81905,0.80952,0.84397,0.61679,1.43461,1.553,1.14067,2.06255,0.0006932,0.0006932,0.0006932
35,65.2259,1.38859,1.47618,0.99788,1.83136,0.88174,0.80952,0.87682,0.59756,0.88174,0.80952,0.87682,0.62297,1.59298,1.43266,1.08537,2.10264,0.0006536,0.0006536,0.0006536
36,67.0434,1.43858,1.54551,1.0599,1.91912,0.94574,0.83067,0.88015,0.61256,0.94574,0.83067,0.88015,0.62978,1.49664,1.37933,1.0431,1.99645,0.000614,0.000614,0.000614
37,68.8643,1.39007,1.48584,1.03194,1.85065,0.89929,0.85072,0.8741,0.58649,0.89929,0.85072,0.8741,0.5807,1.4247,1.62887,1.06728,2.00659,0.0005744,0.0005744,0.0005744
38,70.6915,1.31163,1.39684,0.98286,1.82676,0.80855,0.7619,0.83124,0.59797,0.80855,0.7619,0.83124,0.59767,1.37777,1.45818,1.3464,1.97753,0.0005348,0.0005348,0.0005348
39,72.5266,1.4015,1.39678,1.01976,1.88161,0.87251,0.7619,0.85789,0.59977,0.87251,0.7619,0.85789,0.63113,1.47605,1.35874,1.20508,2.02071,0.0004952,0.0004952,0.0004952
40,74.3615,1.38595,1.46937,1.01266,1.84584,0.92161,0.85714,0.89137,0.60193,0.92161,0.85714,0.89137,0.62265,1.39727,1.30465,1.09247,1.96834,0.0004556,0.0004556,0.0004556
41,76.7355,1.23122,1.33257,1.10639,1.83122,0.927,0.90476,0.91472,0.59794,0.927,0.90476,0.91472,0.5996,1.51166,1.3229,1.10636,2.09277,0.000416,0.000416,0.000416
42,78.558,1.15102,1.22715,0.96257,1.76404,0.98286,0.85714,0.90597,0.60903,0.98286,0.85714,0.90597,0.62881,1.44347,1.44036,1.08392,1.97641,0.0003764,0.0003764,0.0003764
43,80.3746,1.22624,1.26814,0.95418,1.76918,0.94567,0.82953,0.91626,0.6281,0.94567,0.82953,0.91626,0.61104,1.40682,1.33199,1.02703,1.96695,0.0003368,0.0003368,0.0003368
44,82.1987,1.13228,1.22012,0.97407,1.70387,0.86622,0.85714,0.90849,0.62014,0.86622,0.85714,0.90849,0.66376,1.3691,1.285,1.01845,1.93287,0.0002972,0.0002972,0.0002972
45,84.0222,1.1314,1.18939,0.91038,1.68647,0.82516,0.8992,0.89603,0.62443,0.82516,0.8992,0.89603,0.64268,1.4114,1.34189,1.05363,1.95816,0.0002576,0.0002576,0.0002576
46,85.8419,1.13929,1.18925,0.88723,1.68695,0.86041,0.85714,0.90052,0.60965,0.86041,0.85714,0.90052,0.66014,1.38036,1.29567,1.03919,1.93845,0.000218,0.000218,0.000218
47,87.6512,1.1025,1.16649,0.87759,1.66594,0.9233,0.85714,0.91951,0.64884,0.9233,0.85714,0.91951,0.66649,1.39415,1.28643,0.93646,1.9176,0.0001784,0.0001784,0.0001784
48,89.4887,1.07306,1.20698,0.87458,1.61871,0.8751,0.85714,0.90725,0.6372,0.8751,0.85714,0.90725,0.65502,1.34234,1.25997,0.97394,1.93035,0.0001388,0.0001388,0.0001388
49,91.3128,1.04543,1.12589,0.83806,1.61394,0.82727,0.90476,0.89781,0.63045,0.82727,0.90476,0.89781,0.66,1.34148,1.31264,1.01611,1.95661,9.92e-05,9.92e-05,9.92e-05
50,93.1417,1.02314,1.11662,0.82503,1.60584,0.93598,0.85714,0.91265,0.65978,0.93598,0.85714,0.91265,0.67001,1.31751,1.29387,0.96195,1.91286,5.96e-05,5.96e-05,5.96e-05
