epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67664,3.36941,18.6552,4.54986,4.42833,0.00346,0.57143,0.00295,0.00135,0,0,0,0,3.12027,5.18745,3.83458,4.15923,0.00022,0.00022,0.00022
2,4.60718,3.31293,6.93492,4.12455,4.20933,0.00347,0.57143,0.00315,0.00153,0,0,0,0,3.11406,5.18272,3.83928,4.15937,0.000450892,0.000450892,0.000450892
3,6.44033,3.37766,5.23687,4.07745,4.10695,0.00341,0.57143,0.00333,0.00159,0,0,0,0,3.10479,5.17139,3.85661,4.15849,0.00067228,0.00067228,0.00067228
4,8.25894,3.19688,4.99996,3.74002,3.91594,0.00344,0.57143,0.00328,0.00147,0,0,0,0,3.11965,5.15375,3.76059,4.17186,0.000884164,0.000884164,0.000884164
5,10.1367,3.09357,4.30341,3.49021,3.60209,0.0035,0.57143,0.00504,0.00202,0,0,0,0,3.12253,5.16577,4.01847,4.21819,0.00108654,0.00108654,0.00108654
6,12.0788,2.77658,3.87692,3.19082,3.34881,0.00366,0.57143,0.00512,0.00236,0,0,0,0,3.04406,5.17399,3.74455,4.18659,0.00127942,0.00127942,0.00127942
7,13.9059,2.55739,3.28797,2.91898,3.15701,0.00416,0.71429,0.0067,0.00315,0.00194,0.33333,0.00177,0.00052,2.68154,4.78669,3.68532,3.81926,0.00146279,0.00146279,0.00146279
8,15.7166,2.48409,2.99931,2.69942,2.95682,0.16554,0.2381,0.06655,0.02054,0.11454,0.14286,0.03936,0.00571,2.72059,4.24406,3.19026,3.35974,0.00163666,0.00163666,0.00163666
9,17.5321,2.43948,2.8008,2.59988,2.87034,0.23748,0.04762,0.2468,0.08367,0.52505,0.10717,0.32257,0.05017,2.31184,3.18686,2.88776,3.13385,0.0016832,0.0016832,0.0016832
10,19.3494,2.32996,2.51385,2.33753,2.74182,0.29915,0.14286,0.16644,0.06683,0.37328,0.14286,0.12832,0.03751,2.39989,3.91529,3.22163,3.40181,0.0016436,0.0016436,0.0016436
11,21.1538,2.35731,2.55815,2.19947,2.68288,0.63038,0.48779,0.62497,0.23312,0.63559,0.49905,0.59855,0.19299,2.52436,3.01153,2.28019,3.13015,0.001604,0.001604,0.001604
12,22.9641,2.18722,2.22519,2.01262,2.59884,0.46834,0.47619,0.48779,0.21885,0.46834,0.47619,0.48779,0.17635,2.26337,3.05409,2.01144,2.81635,0.0015644,0.0015644,0.0015644
13,24.7642,2.25901,2.1431,2.01816,2.60954,0.68575,0.51981,0.58293,0.31165,0.58263,0.52381,0.48918,0.20918,2.04844,3.34907,1.92578,2.63665,0.0015248,0.0015248,0.0015248
14,26.5817,2.1295,2.18641,1.90918,2.51114,0.53657,0.61905,0.59338,0.25593,0.76981,0.42857,0.55532,0.23708,2.25735,3.51221,1.9395,2.88412,0.0014852,0.0014852,0.0014852
15,28.3849,2.09794,2.16239,1.89279,2.47385,0.74114,0.57143,0.67655,0.30176,0.74114,0.57143,0.68003,0.35697,2.1471,2.30261,1.77914,2.66263,0.0014456,0.0014456,0.0014456
16,30.201,2.02896,2.10689,1.79374,2.4454,0.7438,0.57143,0.68719,0.40433,0.7438,0.57143,0.69384,0.46889,1.83568,1.6861,1.96266,2.34665,0.001406,0.001406,0.001406
17,32.0095,1.89823,1.91123,1.7048,2.32577,0.71184,0.52381,0.65067,0.37829,0.71184,0.52381,0.65067,0.42178,1.79314,1.7698,1.88643,2.37458,0.0013664,0.0013664,0.0013664
18,33.8286,1.93828,1.93239,1.68241,2.3319,0.84728,0.61905,0.72793,0.44709,0.84728,0.61905,0.72793,0.4916,1.7754,1.499,1.45454,2.35669,0.0013268,0.0013268,0.0013268
19,35.6374,1.88312,1.87372,1.59789,2.24625,0.43907,0.37313,0.38641,0.21487,0.43907,0.37313,0.38513,0.23637,1.73652,1.97195,2.01998,2.40412,0.0012872,0.0012872,0.0012872
20,37.4332,1.74179,1.84746,1.59286,2.19765,0.74979,0.57084,0.68886,0.44445,0.74979,0.57084,0.68886,0.46708,1.75668,1.6932,1.60749,2.26067,0.0012476,0.0012476,0.0012476
21,39.2518,1.769,1.98908,1.48458,2.19886,0.72203,0.7619,0.78798,0.50346,0.72203,0.7619,0.78798,0.55417,1.52487,1.5052,1.39129,2.11074,0.001208,0.001208,0.001208
22,41.07,1.74792,1.90083,1.43944,2.14218,0.68731,0.7332,0.76951,0.53466,0.68731,0.7332,0.76951,0.54813,1.42926,1.57446,1.47984,1.97185,0.0011684,0.0011684,0.0011684
